Name,Gender,Race,Age,Phone Number,Date of Birth,Aadhar Number,Address,State
harparsad,Female,Indian,5,3855237559,25-10-2017,1330 0000 0000,"02
Dugar Circle
Rajkot 887540",Rajasthan
dhanwantidevi,Male,Indian,1,7219951759,16-3-2021,1540 0000 0000,"H.No. 579, Hayer Zila, Chandigarh 522746",Haryana
amit,Male,Indian,64,6248832696,17-1-1958,7270 0000 0000,"H.No. 62
Kurian Street, Nandyal 831385",Tamil Nadu
dimpaldoli,Male,Indian,15,7248534403,30-10-2007,9410 0000 0000,"93/82
Ray Circle
Gaya-788180",Uttar Pradesh
shivkumar,Female,Indian,42,9570643246,11-8-1980,9850 0000 0000,"740, Bhagat Zila, Khammam 589267",Manipur
pankajchand,Female,Indian,5,6598535191,22-7-2017,2000 0000 0000,"41/235, Kunda Zila, Kalyan-Dombivli-350879",Bihar
arti,Female,Indian,71,5697672477,6-6-1951,5850 0000 0000,"H.No. 13
Kala Road, Kolhapur-580597",Rajasthan
niraj,Female,Indian,27,1678539940,25-3-1995,9290 0000 0000,"14/42, Rana Zila, Gandhinagar-754603",Assam
priyanka,Female,Indian,21,8560539296,23-4-2001,5630 0000 0000,"69/44, Buch Road, Solapur 205646",Kerala
vivekkumar,Male,Indian,98,6494805713,26-12-1924,2290 0000 0000,"22/037, Jani Chowk
Bahraich-532467",Haryana
aartidevi,Female,Indian,23,5182208727,30-11-1999,9990 0000 0000,"41/45
Kapur, Shimoga 407725",Manipur
lalitkathuriya,Male,Indian,11,6811702132,31-5-2011,8950 0000 0000,"55
Ratta Circle
Karawal Nagar 864713",Odisha
afsana,Male,Indian,26,8501073140,15-8-1996,8320 0000 0000,"48/638
Verma Path
Avadi-982309",Tamil Nadu
sashimittal,Female,Indian,82,9493483109,16-10-1940,7260 0000 0000,"25
Chhabra Street
Nellore-875708",Himachal Pradesh
nidhikumari,Female,Indian,95,7642641383,24-8-1927,4320 0000 0000,"798, Majumdar Zila
Khammam 686301",Karnataka
isha,Female,Indian,30,8803353343,9-8-1992,7470 0000 0000,"H.No. 694, Dalal Marg
Dewas-631476",Jharkhand
hamidakhatun,Female,Indian,24,3039960472,25-10-1998,2400 0000 0000,"H.No. 14, Andra Ganj
Dibrugarh 757789",Gujarat
manju,Male,Indian,93,1420722507,22-3-1929,5410 0000 0000,"60
Sathe Ganj, Jaunpur-534126",Mizoram
ramkumar,Female,Indian,25,3215916111,24-3-1997,1230 0000 0000,"99/07, Baral Path
Chandrapur 560891",Tripura
kanchan,Male,Indian,16,1946196088,22-1-2006,9290 0000 0000,"41/726, Thaker Circle
Sambhal 582524",Uttar Pradesh
sumit,Female,Indian,3,7767689547,7-9-2019,8800 0000 0000,"210, Uppal Ganj
Nangloi Jat-010314",Himachal Pradesh
vivek,Male,Indian,89,2799693923,13-2-1933,8990 0000 0000,"44, Sen
Nagercoil-039912",Chhattisgarh
gaurav,Male,Indian,44,4029248529,30-9-1978,7570 0000 0000,"H.No. 012, Acharya Road
Ballia-341484",Nagaland
vinodlal,Male,Indian,4,7313291490,8-9-2018,9300 0000 0000,"28, Sheth Road
Rewa-229247",Mizoram
jyoti,Male,Indian,79,7028723252,24-7-1943,5490 0000 0000,"86/86, Balay Street, Gwalior-108247",Jharkhand
shenaz,Female,Indian,24,6009600674,1-10-1998,3590 0000 0000,"H.No. 29, Toor Path
Buxar-697520",Goa
rajakumar,Female,Indian,42,6615835282,4-11-1980,2780 0000 0000,"H.No. 904
Varty Circle
Panvel 353251",Odisha
preety,Male,Indian,9,9515504721,8-10-2013,9060 0000 0000,"14
Chad
Siwan 264936",Bihar
chandesh,Female,Indian,83,2609456820,23-8-1939,4620 0000 0000,"H.No. 80
Bera Marg, Varanasi 570239",Arunachal Pradesh
jitender,Male,Indian,20,7186031781,10-2-2002,2240 0000 0000,"H.No. 76
Chaudry Chowk
Faridabad 222216",Odisha
rekha,Female,Indian,68,3197188116,9-10-1954,9230 0000 0000,"52, Aurora Zila, Sambalpur 441839",Arunachal Pradesh
rinki,Female,Indian,7,1292719556,31-1-2015,1720 0000 0000,"07, Baral Marg, Uluberia 785701",Rajasthan
aarti,Male,Indian,5,3268124364,12-4-2017,2780 0000 0000,"H.No. 279, Dhar Street, Malegaon 581510",Mizoram
aarti,Male,Indian,52,1305712086,24-8-1970,3710 0000 0000,"H.No. 663
Grewal Ganj, Bahraich 780841",Mizoram
sarvesh,Female,Indian,73,3236158414,24-12-1949,9560 0000 0000,"H.No. 598
Bakshi Road
Machilipatnam 500393",Sikkim
geetadevi,Male,Indian,8,3205854000,24-11-2014,7490 0000 0000,"04/818
Kaur Zila, Pune 632464",Manipur
surendersinghchauhan,Male,Indian,99,3762590543,26-12-1923,8980 0000 0000,"63/031, Dhingra Circle, Ranchi 487049",Uttar Pradesh
janki,Female,Indian,99,9781487481,14-6-1923,9420 0000 0000,"74, Kannan Road, Mysore-148034",Madhya Pradesh
motilal,Male,Indian,63,7422142741,26-7-1959,6210 0000 0000,"H.No. 50
Goyal Road
Bilaspur-303371",Bihar
laxmidevi,Male,Indian,73,2704069304,22-1-1949,2940 0000 0000,"25/84
Dhingra Circle
Warangal-709028",Assam
shakshisagar,Male,Indian,57,9586220028,15-1-1965,9850 0000 0000,"10, Agate Ganj, Kishanganj 189083",Maharashtra
swatijoshi,Female,Indian,79,2319310154,21-9-1943,8930 0000 0000,"H.No. 06
Balay Ganj, Sikar-409796",Bihar
sashi,Female,Indian,67,7169360072,2-11-1955,7930 0000 0000,"H.No. 24, Brahmbhatt Street, Tiruppur 595506",Sikkim
sunita,Male,Indian,40,6450622524,22-3-1982,3020 0000 0000,"68/10
Lall Path
Raipur-531798",Gujarat
priyanka,Male,Indian,8,6723158874,16-11-2014,7230 0000 0000,"34/408, Balakrishnan Nagar, Begusarai-357324",Bihar
khushbu,Female,Indian,17,5521043522,28-9-2005,4270 0000 0000,"H.No. 689, Vig, Pudukkottai-996193",Maharashtra
poonam,Female,Indian,3,1392805059,21-2-2019,2390 0000 0000,"44, Chander Marg, Bidhannagar-818775",Jharkhand
gulshan,Male,Indian,77,7051522887,19-6-1945,9650 0000 0000,"74/099, Chakrabarti Path
Unnao 735366",Punjab
palaksimran,Male,Indian,38,7232678136,12-6-1984,1840 0000 0000,"56/44, Bath Circle
Sasaram 892321",Assam
jyoti,Female,Indian,12,5895499871,1-8-2010,2530 0000 0000,"750
Banik Path, Kadapa-052241",Mizoram
mubarik,Male,Indian,9,2825610874,18-2-2013,3090 0000 0000,"088
Konda
Bidhannagar-479801",Maharashtra
neha,Male,Indian,97,3517017230,2-5-1925,7520 0000 0000,"15
Raman Chowk
Alwar 199450",Uttar Pradesh
ranju,Male,Indian,89,3397291819,8-6-1933,3070 0000 0000,"28/94
Ganesan Road
Vijayanagaram 053603",Uttar Pradesh
parveen,Male,Indian,51,9808537288,13-12-1971,1020 0000 0000,"H.No. 193, Bhatia Path, Farrukhabad 452175",Sikkim
birendermandal,Female,Indian,80,4405182623,27-4-1942,8840 0000 0000,"H.No. 078, Bumb Road
Nashik-736319",Telangana
champakarketta,Female,Indian,90,4661205524,18-12-1932,1730 0000 0000,"47/93, Varty Road, Ranchi 744709",Arunachal Pradesh
ranutiwari,Male,Indian,57,7143486074,28-11-1965,4440 0000 0000,"61/20, Dixit
Munger 228227",Uttar Pradesh
ruksana,Male,Indian,12,9705449965,13-10-2010,7480 0000 0000,"05/12
Contractor Zila, Khammam-236300",Mizoram
rajkumar,Female,Indian,39,6398558885,6-3-1983,9050 0000 0000,"H.No. 815, Yogi Circle
South Dumdum 278298",Tripura
babita,Female,Indian,16,1761018162,1-2-2006,4230 0000 0000,"81, Balay Circle
Vadodara-405211",Mizoram
pooranchandsharma,Female,Indian,50,9395376936,25-12-1972,4680 0000 0000,"71, Amble Marg, Thiruvananthapuram-035278",Rajasthan
pooja,Male,Indian,94,9957805263,12-1-1928,2060 0000 0000,"07/465, Chokshi Marg
Nanded-545682",Nagaland
anjalibabli,Female,Indian,12,2617751264,31-10-2010,4780 0000 0000,"H.No. 77, Khare Street, Nagaon 648843",Tripura
shakshi,Female,Indian,77,9221266346,7-10-1945,2060 0000 0000,"20/641, Banik Zila
Dindigul 051697",Punjab
shivani,Male,Indian,62,7372394583,2-11-1960,3090 0000 0000,"13/25, Subramanian Chowk, Siwan-474966",Odisha
vansudev,Male,Indian,80,8954599378,27-1-1942,1100 0000 0000,"77
Thakur Ganj, Kolhapur 823983",Rajasthan
ramvilash,Male,Indian,66,7000944857,4-1-1956,3490 0000 0000,"75/96, Dhingra Street, Adoni 053739",Goa
shalu,Female,Indian,99,2793077511,29-8-1923,2430 0000 0000,"H.No. 487, Sandal Chowk, Nandyal 719920",Maharashtra
rinukanwr,Male,Indian,34,4582873263,3-4-1988,5100 0000 0000,"H.No. 898
Dugal Path
Bidar 732415",Tripura
sandeepmeghawal,Female,Indian,87,6532415405,19-9-1935,3320 0000 0000,"56/020, Ravi Path, Alwar-371975",Assam
nandu,Female,Indian,36,4896455383,21-5-1986,2620 0000 0000,"H.No. 66, Chana Path, Sirsa-664450",Chhattisgarh
sonam,Male,Indian,27,7116412858,5-7-1995,4290 0000 0000,"H.No. 588, Sandhu
Gandhinagar-110163",Assam
neha,Female,Indian,65,1692958212,7-2-1957,5740 0000 0000,"76/95, Rao Marg, Chennai 045579",Andhra Pradesh
chandni,Female,Indian,84,4859140366,17-4-1938,1500 0000 0000,"19, Bakshi Path, Thanjavur-306331",Bihar
rijulaggarwal,Female,Indian,1,3178187671,26-10-2021,3580 0000 0000,"73/21
Dash Nagar
Shimoga-645885",Tripura
rashid,Male,Indian,10,3271017200,22-2-2012,8970 0000 0000,"39
Malhotra Road, Patna 888075",Mizoram
ajaynarayan,Male,Indian,26,2679328333,1-9-1996,6710 0000 0000,"H.No. 494, Loke Road, Rajkot-936748",Uttarakhand
anita,Female,Indian,66,8129309364,9-12-1956,9470 0000 0000,"22/830
Doshi
Begusarai-583496",Gujarat
gracepalla,Female,Indian,60,9702896694,4-6-1962,6930 0000 0000,"70/02
Talwar Circle, Mangalore-988150",Mizoram
jatinsonu,Female,Indian,12,7116589798,1-5-2010,7360 0000 0000,"H.No. 66
Gandhi Chowk
Orai 629338",Gujarat
manglaurfmangibai,Male,Indian,75,3735601572,7-12-1947,8630 0000 0000,"H.No. 86, Dar Ganj
Bilaspur 800210",Uttarakhand
sonam,Female,Indian,73,7014755687,8-11-1949,1440 0000 0000,"H.No. 061
Gandhi Street, Meerut-782150",Chhattisgarh
seemasimran,Female,Indian,59,7141885746,26-3-1963,1790 0000 0000,"H.No. 27, Kunda Path
Patna-660316",Tripura
priynka,Male,Indian,49,5587722775,20-12-1973,2080 0000 0000,"H.No. 698, Sane, Proddatur-306631",Kerala
shehnaz,Female,Indian,100,3420806201,6-6-1922,8260 0000 0000,"92/903, Dada Chowk
Motihari 598439",Bihar
reenadevi,Female,Indian,38,2740859067,13-3-1984,6160 0000 0000,"34
Majumdar, Ujjain 367669",Bihar
shadab,Male,Indian,51,8568536205,5-5-1971,9710 0000 0000,"52/64, Bakshi Zila
Kanpur-023469",Karnataka
abhi,Female,Indian,14,8959322845,24-6-2008,3600 0000 0000,"H.No. 18
Rama
Noida-992322",Goa
aarti,Male,Indian,66,8638237289,10-5-1956,8880 0000 0000,"00/083
D’Alia Zila
Dehradun-526115",Madhya Pradesh
kartikkaku,Male,Indian,24,1394961700,24-8-1998,1160 0000 0000,"93/46, Bajwa Street
Giridih-877120",Tamil Nadu
kamaljitsingh,Female,Indian,62,3859180161,3-2-1960,1680 0000 0000,"05/007, Jain Ganj, New Delhi-670077",Chhattisgarh
sandeep,Male,Indian,40,6266446155,21-6-1982,3390 0000 0000,"H.No. 003
Bawa Marg, Bhusawal-479273",Telangana
krishan,Male,Indian,4,8949915514,16-5-2018,2980 0000 0000,"724
Yogi Path, Sagar 494843",Telangana
pooja,Female,Indian,55,3972130208,15-5-1967,1790 0000 0000,"H.No. 479, Amble
Ambarnath-516202",Nagaland
jaisingh,Female,Indian,36,6414295026,23-10-1986,1510 0000 0000,"85/785
Yogi Nagar
Bhilai-690281",Telangana
dharamsingh,Male,Indian,82,4901069573,13-1-1940,9360 0000 0000,"14, Magar
Karaikudi-535281",Himachal Pradesh
bhupender,Female,Indian,59,8533097674,6-8-1963,8140 0000 0000,"13/60, Ramanathan Circle, Narasaraopet-842954",Uttarakhand
balraj,Female,Indian,88,6462388063,15-7-1934,3640 0000 0000,"815
Sem Path, Mango-818725",Meghalaya
priyanka,Male,Indian,56,1981673398,1-9-1966,2280 0000 0000,"75/62
Anne Nagar
Nizamabad-128385",Mizoram
ramdinverma,Male,Indian,24,2944391680,5-10-1998,3670 0000 0000,"268
Gour Zila, Chapra-277652",Gujarat
seema,Female,Indian,29,5104238414,22-11-1993,8580 0000 0000,"H.No. 79, Vala, Farrukhabad-424092",Sikkim
santosh,Female,Indian,44,7500648885,24-8-1978,4010 0000 0000,"21/71
Wason Zila, Berhampur 433141",Bihar
rupesh,Male,Indian,57,1608375926,20-6-1965,1380 0000 0000,"H.No. 47
Chawla Marg, Bahraich 654530",Rajasthan
babluregar,Male,Indian,88,8466053167,22-6-1934,6010 0000 0000,"55/46
Wagle Road
Bhubaneswar-963441",Mizoram
naziyasiddiqui,Female,Indian,74,6234969623,28-3-1948,9880 0000 0000,"671
Tank Zila, Ludhiana-381019",Himachal Pradesh
versa,Female,Indian,95,1500722686,17-8-1927,9300 0000 0000,"H.No. 004, Singh
Narasaraopet 214971",Punjab
aasmin,Male,Indian,69,8604501611,2-2-1953,5400 0000 0000,"H.No. 147
Chokshi Road, Thiruvananthapuram 764429",Odisha
tammanne,Male,Indian,97,7883531081,3-12-1925,9920 0000 0000,"H.No. 481, Arya Nagar
Mango 824222",Haryana
sagar,Female,Indian,56,1863980787,23-3-1966,6280 0000 0000,"H.No. 35, Hora Marg
Srikakulam 024384",Chhattisgarh
subhash,Female,Indian,20,9187382840,13-3-2002,3300 0000 0000,"40/027, Malhotra Circle, Kumbakonam-769273",Maharashtra
punitkhandelwal,Female,Indian,37,9683847172,18-6-1985,4360 0000 0000,"56, Raval Street
Khammam 715748",Tamil Nadu
pintukumar,Male,Indian,75,9215898723,15-11-1947,9390 0000 0000,"95/31, Chand Marg, Singrauli-676218",Mizoram
varsha,Male,Indian,20,5420257848,9-6-2002,1450 0000 0000,"H.No. 661
Sampath Circle
Muzaffarnagar 653794",Telangana
amit,Male,Indian,36,1647615388,22-9-1986,2190 0000 0000,"484
Chakrabarti Zila, Firozabad-971843",Rajasthan
aarti,Female,Indian,84,9252887685,31-7-1938,7080 0000 0000,"39/667, Dave Ganj
Dewas 225450",Karnataka
vidhi,Male,Indian,46,8693376182,1-8-1976,6470 0000 0000,"H.No. 74, Mangal Ganj
Secunderabad-952499",Telangana
guddu,Female,Indian,41,5472115139,28-5-1981,5450 0000 0000,"H.No. 768, Sant Ganj, Gudivada 908073",Haryana
kasid,Female,Indian,27,4229076677,3-3-1995,7540 0000 0000,"H.No. 42
Chatterjee Street, Junagadh-585140",Rajasthan
talim,Male,Indian,53,5601079669,6-10-1969,4920 0000 0000,"31/71, Randhawa Chowk, Latur-158746",Karnataka
rimmisingh,Female,Indian,16,5568042420,2-2-2006,2460 0000 0000,"39/477, Bhavsar
Rajkot 076881",Chhattisgarh
amit,Female,Indian,2,9644161280,19-2-2020,7910 0000 0000,"91/95
Sabharwal Zila
Khora  032452",Andhra Pradesh
anilkumar,Female,Indian,71,6893309609,19-5-1951,5320 0000 0000,"93/289, Soman Street, Narasaraopet-393579",Nagaland
priyanka,Male,Indian,79,6772764038,21-1-1943,2300 0000 0000,"H.No. 007
Vaidya Marg, Bijapur-260841",Maharashtra
sanjay,Male,Indian,16,7875107212,23-1-2006,5240 0000 0000,"58, Bali Path
Arrah 221234",Punjab
priyanka,Male,Indian,37,9001790827,10-3-1985,3080 0000 0000,"79
Loyal Ganj, Mysore-380941",Odisha
yogita,Female,Indian,97,4910921215,17-4-1925,5870 0000 0000,"35, Kanda, Kadapa-022789",Uttarakhand
manju,Male,Indian,36,7174362902,4-9-1986,5640 0000 0000,"29, Doshi Chowk, Saharanpur 685213",Tamil Nadu
ranita,Female,Indian,55,5717554004,1-5-1967,4400 0000 0000,"680, Buch
Tirupati-711320",Jharkhand
jony,Male,Indian,10,1730459291,7-11-2012,7890 0000 0000,"H.No. 97
Keer Nagar, Kollam-346223",Mizoram
seema,Male,Indian,83,4328889359,18-2-1939,2550 0000 0000,"121
Kar Marg, Amravati-204515",Telangana
priyanka,Female,Indian,24,3649142898,9-10-1998,8450 0000 0000,"73/04, Ramaswamy Nagar
Amroha 276747",Karnataka
kirandevi,Female,Indian,31,7564530408,24-1-1991,7360 0000 0000,"705
Kalla
Morbi 199602",Telangana
raghunandandas,Female,Indian,44,3632416206,30-10-1978,2160 0000 0000,"H.No. 187
Shroff Road, Bilaspur-637478",Jharkhand
guddu,Female,Indian,43,3157905141,30-1-1979,7200 0000 0000,"448, Hayre Chowk, Kalyan-Dombivli-445255",Uttarakhand
sumitmitra,Male,Indian,1,8128399178,22-12-2021,2320 0000 0000,"61
Yohannan Road, Kamarhati-648330",Andhra Pradesh
ashokkumar,Female,Indian,98,2887973208,5-1-1924,9860 0000 0000,"517, Sura Nagar, Vellore-120134",Jharkhand
mohdataullah,Female,Indian,11,4251212914,17-6-2011,3550 0000 0000,"40/904
Banik Road
Solapur-146779",Rajasthan
kanikakathuria,Male,Indian,46,6509272967,20-10-1976,6380 0000 0000,"H.No. 012, Bose Nagar
Ichalkaranji-117164",Uttar Pradesh
sunita,Female,Indian,51,1488779605,21-10-1971,3690 0000 0000,"27/908
Gopal Ganj, Rajkot-367011",Maharashtra
anjali,Female,Indian,89,4873457647,5-1-1933,5300 0000 0000,"96
Basu Chowk, Kochi-196436",Maharashtra
esrailkhan,Female,Indian,37,2889549279,19-1-1985,8260 0000 0000,"63/079
Jaggi Chowk, Tiruchirappalli-057100",Haryana
yogesh,Female,Indian,93,8201068483,30-11-1929,3140 0000 0000,"43, Sibal Zila
Dibrugarh 555948",Meghalaya
shabanm,Male,Indian,24,7083000288,19-6-1998,1980 0000 0000,"80/684
Basu, Surat-972765",Himachal Pradesh
vansudev,Male,Indian,46,7367042951,14-11-1976,1730 0000 0000,"91/28
Savant, Kolhapur 800191",Odisha
sureshkumar,Female,Indian,51,7322261111,9-1-1971,2730 0000 0000,"H.No. 926, Zachariah Ganj
Chapra 378587",Haryana
hemlata,Male,Indian,86,9951462176,6-7-1936,4540 0000 0000,"51/939
Deol Circle, Indore-638121",West Bengal
rajender,Female,Indian,71,7221136237,29-9-1951,3770 0000 0000,"H.No. 35
Ahluwalia Zila, Udupi 132709",Jharkhand
vivekauhari,Male,Indian,14,8701794520,24-5-2008,5980 0000 0000,"H.No. 089, Khare Road
Begusarai 199227",Bihar
kajal,Male,Indian,21,8440966313,22-1-2001,4750 0000 0000,"442, Reddy Path
Tirunelveli-564126",Assam
khushboo,Female,Indian,4,7461642522,13-8-2018,2720 0000 0000,"76/06, Tak
Lucknow 184654",Tripura
rishikakdia,Female,Indian,16,5069195270,23-5-2006,1440 0000 0000,"H.No. 718, Luthra Chowk, Bettiah 756194",West Bengal
armanansari,Male,Indian,21,7618972113,10-9-2001,8340 0000 0000,"615
Saraf Nagar, Delhi-602349",Odisha
shivshaktisingh,Female,Indian,9,5052374418,5-3-2013,3130 0000 0000,"73/83, Bajaj Zila, Erode-254375",Telangana
faridabegam,Female,Indian,95,9113269640,3-3-1927,1560 0000 0000,"H.No. 76, Buch Ganj
Sangli-Miraj & Kupwad-028090",Madhya Pradesh
chotelal,Male,Indian,61,3618017532,3-8-1961,4300 0000 0000,"57
Lad Nagar, Pallavaram-070993",Jharkhand
sparsh,Female,Indian,81,6965156256,20-4-1941,5270 0000 0000,"H.No. 461, Loyal
Shivpuri 647891",Manipur
sandeepkumar,Male,Indian,94,2778611678,17-5-1928,1840 0000 0000,"H.No. 32, Bhat Nagar, Bettiah 774795",Telangana
mukulyadav,Female,Indian,62,7930566910,12-6-1960,3330 0000 0000,"H.No. 066
Amble Path
Amritsar 384497",Maharashtra
khushbu,Female,Indian,43,7642339491,29-1-1979,1230 0000 0000,"H.No. 54, Dugar Chowk, Noida 600745",Bihar
pooja,Male,Indian,6,9428009394,18-12-2016,9990 0000 0000,"879, Gera Zila
Farrukhabad 145585",Kerala
rohit,Female,Indian,5,2356369379,26-5-2017,9490 0000 0000,"H.No. 28, Raj Zila
Satara 566688",Chhattisgarh
pooja,Male,Indian,32,7379243397,1-1-1990,5460 0000 0000,"10/65, Acharya Street, Srikakulam 541983",Haryana
aanamikamisra,Female,Indian,34,5717568794,30-5-1988,2920 0000 0000,"17/77, Dey Path
Kalyan-Dombivli 185992",Sikkim
jyoti,Male,Indian,80,8111820561,1-11-1942,4270 0000 0000,"H.No. 68
Cheema Circle, Sagar-956964",Chhattisgarh
vikas,Male,Indian,43,6270816483,26-10-1979,2370 0000 0000,"48/64, Virk Ganj
Kurnool 054047",Jharkhand
midda,Male,Indian,91,2125958454,30-8-1931,5610 0000 0000,"577, Bhavsar Ganj
Barasat-632164",West Bengal
tina,Female,Indian,68,4254118411,14-6-1954,4220 0000 0000,"79/241, Wagle Street
Ghaziabad 233653",Madhya Pradesh
vipin,Female,Indian,63,7737201691,4-2-1959,4220 0000 0000,"H.No. 349
Chopra Circle
Lucknow 891498",Rajasthan
azaz,Male,Indian,63,8449336376,20-4-1959,3850 0000 0000,"H.No. 94, Bahl Path, Durg 502619",Madhya Pradesh
farhan,Male,Indian,74,1470310053,5-11-1948,3930 0000 0000,"86/43, Choudhry Road, Alwar 598843",Rajasthan
